,User_ID,Gender,Age,MBTI,Q_number,Answer
8040,168,0,30,ENTJ,25,아니다. 다른 사람의 논쟁은 그냥 피곤할 뿐이다. 전혀 즐겁지 않다. 시끄러운 것은 싫다.
13673,381,1,30,ISTJ,54,"그렇다. 저는 잘 파악합니다, 이유는 섬세하게 표정으로 나타나는 감정을 느끼기 때문입니다. 아이가 심술이 나거나 속상할 때 얼굴 표정에 드러나기 때문입니다."
13234,365,0,30,INTJ,35,아니다. 결정에 대해서도 생각을 많이 하는 편입니다. 문제가 있다면 결정하고도 수정해나가기도 합니다.
11750,294,0,40,ENFJ,51,그렇다. 혼자서 일할 수 있는 직업을 원합니다. 업무에 대한 책임감이 강해서 타인에게 피해를 주거나 받는 것에 스트레스를 많이 받기 때문입니다.
15620,427,1,30,ESFJ,21,그렇다. 책임이 많은 지도자보다는 구성원으로 활동하는 것이 마음이 편할 때가 많습니다.
12277,333,1,30,INFJ,38,아니다. 비윤리적인 상황이라면 이해하기 힘듭니다. 아직까지는 윤리를 저버리면서까지 해야만 하는 일에 대해 공감할 수 없습니다.
344,8,0,20,ENTP,9,중립. 계획을 세우기는 하지만 같이 일을 하는 사람과 구두로 하는 것을 선호하지 도구를 즐겨 사용하지는 않습니다.
9496,198,1,40,ISFP,41,중립. 저는 아는 사람들이나 가까운 사람들과의 통화는 자주 즐기는 편이나 모르는 사람이나 업무적으로 통화해야 하는 경우는 피하고 싶긴 합니다. 통화를 해서 말을 잘 못하거나 의도와 다르게 전달되는 경우가 있기 때문입니다.
17824,466,1,20,INFP,5,그렇다. 최대한 나의 힘을 이끌어 내야 하기 때문에 유지하는 편입니다.(시험 압박)
12828,348,0,40,ISTP,49,그렇다. 일관성 있게 일하는 것이 더 힘들어요. 저는 여행을 다녀오거나 하루 실컷 한 잔을 해야 그 기운으로 다음날 야근을 할 수 있어요. 힐링 시간 대비 에너지입니다.
15600,427,1,30,ESFJ,1,중립/모르겠다. 사회생활을 하면서 자연스럽게 만들어지는 관계는 마다하지 않지만 개인적으로 친구를 만들기 위해 특별한 노력은 하지 않는 편입니다.
13303,367,1,30,ENTP,44,아니다. 저는 계획에 차질이 생기면 그 상황에 맞추어가려고 노력합니다. 시험을 응시할 때 평소에 비해 시간이 부족하면 전략을 바꾸기도 합니다.
12819,348,0,40,ISTP,40,"그렇다. 별로 불안하지 않아요. 불안한 생각을 찾아 하거나 불안한 장면을 찾아보지도 않고요. 행복한 생각만 하기도 바쁜걸요. 예쁘고 좋은 장면도 많고요.
"
11624,258,0,40,ENTJ,45,그렇다. 오래전의 실수를 후회할 때가 많습니다. 시아버지가 몇 년 전에 돈을 보태주신 적이 있는데 그때 그 돈으로 주택을 구입하지 않은 것을 매우 후회하며 지냅니다.
5632,118,0,20,INTP,17,그렇다. '나의 해방일지'의 세련되고 축약된 결말이 좋았습니다. 자신의 방식으로 해석할 여지를 남기는 것이 그렇지 않은 것에 비해 촌스럽지 않고 세련되었다고 여깁니다.
2726,57,1,40,ISFP,39,아니다. 저는 매일 할 일을 계획하는 것을 좋아하지 않습니다. 이유는 제가 체력적으로 약하고 감정에 많이 따르기 때문에 그날그날 기분과 컨디션에 따라 하고 싶은 일을 하는 편입니다.
103,3,0,40,ISTP,8,아니다. 매우 현실적인 것 같고 현실적이 아닌 생각이 나 얘기를 들으면 반박하고 싶어지고 잘못된 생각이라고 느껴진다.
5466,114,1,40,ENTJ,43,그렇다. 저는 먼저 연락을 하는 편입니다. 이유는 친구가 먼저 만나자고 하는 것도 좋지만 제가 시간이 날 때 먼저 연락을 하는 편입니다.
9546,199,0,30,ISTJ,43,아니다. 저는 친구에게 먼저 연락을 하는 편이 아닙니다. 집에 혼자 있는 것이 편하기도 하고 밖에서 만나면 여러 가지로 신경을 써야 하는 것이 불편하기 때문입니다.
7517,157,1,30,ISFP,30,"그렇다. 사후 세계에 대한 질문을 좋아해요. 사후 세계를 믿고, 사후 세계에 대해서 질문이나 답변에 대해서 알아가는 것도 새로운 이야기를 듣는 건 매우 흥미로운 일이에요."
2140,45,1,30,ENTJ,29,아니다. 일을 끝까지 미룬다는 건 있을 수 없는 일입니다. 미리 처리하고 남은 기간 동안은 더 나은 방향으로 수정만 할 뿐입니다.
42,1,1,30,INFP,43,아니다. 대부분 친구가 먼저 만나자고 하면 가는 편입니다. 저는 연락을 대체로 먼저 하지 않습니다.
14092,389,0,40,INFP,53,아니다. 저는 혼자인 공간이 좋습니다. 이유는 혼자만의 공간이 마음이 편하고 자유로움을 느끼기 때문입니다.
2298,48,1,30,ISTP,43,중립. 저는 가끔 이야기를 하고 싶을 때는 먼저 만나자고 연락을 하기도 합니다. 하지만 자주 만나자고 연락을 하지는 않는다.
57,2,1,40,ESTJ,10,중립. 저는 2-3년 전만 해도 실수를 하면 제 능력을 의심했어요. 지금은 조금은 마음의 여유를 가지려 노력하고 있어서인지 누구나 실수할 수도 있다고 생각하고 있어요.
273,6,1,30,INTP,34,"중립. 결정할 사항이 무엇인지에 따라 다릅니다. 쉽게 결정하는 것도 있고, 오래 생각하는 일도 있습니다."
12932,355,1,40,ISTP,33,"중립/모르겠다. 새로운 사람들을 만날 때 그 사람의 배경과 살아온 생활 방식이 다른 사람에게 공감을 잘 못할 때가 종종 있습니다. 왜냐면 그들의 생활방식을 경험을 해보지 않았기 때문입니다.

"
15192,420,1,40,ISFP,13,그렇다. 차갑다거나 감정이 메말랐다는 이야기를 많이 듣기도 했다. 일을 정할 땐 감정보단 이성적으로 생각한다. 감정적으로 따르다가 결과를 보면 이성적으로 하는 게 더 나았던 적이 많다.
14267,395,1,30,ISFP,48,중립/모르겠다. 명백한 잘못을 지적하기보다 본인이 먼저 잘못을 인지할 수 있도록 우회하여 알려주는 편입니다. 체면을 살려주기 위해 노력한다기보다 본인이 먼저 깨달았을 때 다음에 같은 일이 또 벌어지지 않는다고 생각하기 때문입니다.
13305,367,1,30,ENTP,46,그렇다. 저는 인간의 존재나 삶의 이유에 대해 깊이 생각하지 않는 편입니다. 인간이 살아가면서 삶을 만들어나가는 것이지 이유가 정해져있지 않다고 생각합니다.
11902,309,0,40,INFJ,23,그렇다. 저는 우리나라 사람들이 감정적이라고 생각합니다. 정치인들이 좀 더 이성적으로 판단했으면 좋겠습니다.
9197,192,0,40,ISTJ,30,"중립. 저는 흥미롭지는 않지만 궁금하여 관심 정도는 있다. 이유는 사후 세계는 몇몇 사람들이 경험했던 일이어서 궁금하고, 저 또한 죽기 때문에 관심이 어느 정도는 있다."
4073,85,0,30,ISTP,42,아니다. 다른 의견일 경우 이해하려 하지 않는 편입니다. 다른 의견에 대해 생각은 하지만 크게 동요돼서 그 의견을 이해하려고 노력하진 않습니다. 아마 가장 큰 것이 정치적인 이념일 거 같습니다. 정치적 이념이 다른 이와의 대화를 들으며거의 흘려듣는 경우가 많습니다.
17347,458,1,20,ESTJ,8,"중립/모르겠다. 저는 매우 감상적이기도 하고, 매우 감상적이지 않기도 합니다. 이유는 어린이, 노약자 등과 관련된 일이나 상황에서는 매우 감상적으로 행동을 하는데, 동년배의 사람들에게는 매우 이성적으로 행동을 하는 자신을 확인하는 경우가 많기 때문입니다."
12512,340,1,40,INFJ,33,"아니다. 배경의 사전적 의미는 '사건이나 환경, 인물 따위를 둘러싼 주위의 정경' 공감의 사전적 의미는 '남의 감정, 의견, 주장 따위에 대하여 자기도 그렇다고 느낌. 또는 그렇게 느끼는 기분'이라는 뜻이므로, 자신과 배경이 완전히 다른 사람에게도 쉽게 공감이 가능하다는 말은 자신과 환경이 완전히 다른 사람의 생각, 감정이 나와 같다고 생각하거나 느낀다는 의미가 된다고 생각하면, 저는 그럴 수 있겠다고 생각할지언정 '공감'은 못 하는 것 같습니다. 예를 들어 어떤 범죄자가 사실은 과거에 불우한 가정 환경 속에서 성장했다는 내용의 이야기를 보면 '그런 과거가 있구나', '심정이 삐뚤어질 수 있겠구나'라는 생각이 들긴 하지만 그 사람의 사상이나 행동에 공감하지는 못합니다."
16079,435,1,20,ESFJ,60,그렇다. 네 회사 선생님이 원하신다면 자신감이 뿜어냅니다. 이유는 전자부품 관련된 일을 합니다.
14034,388,1,40,ISTJ,55,아니다. 과거에 익숙지 않은 업무로 인해서 과도한 스트레스를 받았던 적을 제외하고는 어떠한 것에 압도 당하는 느낌을 받아본 적은 거의 없습니다.
16711,446,1,30,ESTP,32,중립/모르겠다. 저는 상황에 따라 다르다고 생각합니다. 이유는 철학적이거나 어떤 이념적인 거에 대해서 토론할 때는 필요하다고 생각하고 취미나 대중적인 관심사는 이론 중심은 지루하다고 생각합니다.
13474,377,0,30,ENTP,35,아니다. 이미 내린 결정이 잘한 건지 아닌지 충분히 생각해야 다음에 더 나은 결정을 할 수 있기 때문입니다.
11768,301,0,40,ESFJ,9,중립/모르겠다. 일할 때는 계획을 세워서 진행하는 것을 좋아합니다. 미리 하루에 무엇을 어떻게 할 것인지 다이어리에 적어놓고 체크하면서 진행하면 성취감이 들어 좋습니다. 하지만 모든 일을 그렇게 타이트하게 계획안에서 진행하려고 하지는 않는 거 같습니다.
14002,388,1,40,ISTJ,23,아니다. 감정과 이성 둘 다 중요한 가치라고 생각하고 사람마다 가지고 있는 퍼텐셜은 다르겠지만 두 가지가 모두 존재해서 균형을 맞춰야지만 비로소 좋은 세상이 될 것 같다고 생각합니다. 뭐든 치우치는 건 좋지 않다고 생각해요.
9457,198,1,40,ISFP,2,아니다. 저는 다양한 관심사가 없습니다. 주로 기본적인 반복된 생활을 하는 편입니다. 하지만 요즘엔 자동차 블랙박스를 교체해야 돼서 알아보는 중입니다.
12375,336,0,30,INFJ,16,중립/모르겠다. 저는 마음이 맞고 목적인 뚜렷한 소수의 단체 활동은 좋아하지만 다수의 무의미한 단체 활동은 좋아하지 않습니다. 특히 직장에서 하는 회식이나 야유회가 그것입니다. 다수의 사람들을 만나는 건 많은 에너지를 소비하기 때문에 피곤하게만 느껴질 뿐입니다.
